análise_cnae,trabalho_extenuante_estressante,baixa_escolaridade_exigida,sazonalidade,alta_exigencia_tecnica,salario_mais_elevado,interesse_em_reter_talentos,rotatividade,secao_cnae,codigo_cnae,descricao
"O CNAE 01.32-6 refere-se ao 'Cultivo de uva', uma atividade agrícola que geralmente envolve trabalho físico intenso, especialmente durante períodos de colheita. A exigência de escolaridade para trabalhadores no campo tende a ser baixa, e a atividade é altamente sazonal, com picos de demanda de mão de obra durante a colheita. Os salários médios no setor agrícola são geralmente baixos, e o interesse em reter talentos pode ser limitado, já que a mão de obra é frequentemente contratada de forma temporária para atender às necessidades sazonais. Portanto, é provável que empresas nesse setor apresentem alta rotatividade devido à combinação de trabalho extenuante, baixa escolaridade exigida, alta sazonalidade e baixos salários.",sim,sim,sim,não,não,não,alta_rotatividade,A,01.32-6,Cultivo de uva
"O CNAE 01.33-4 refere-se ao 'Cultivo de frutas de lavoura permanente, exceto laranja e uva'. Este setor agrícola envolve o cultivo de frutas como maçã, banana, abacaxi, entre outras, que são cultivadas de forma contínua ao longo dos anos. O trabalho no campo é geralmente físico e pode ser extenuante, especialmente durante as colheitas. A escolaridade exigida para a maioria das funções é baixa, com muitos trabalhadores sendo contratados como mão de obra temporária ou sazonal, dependendo do ciclo de colheita das frutas. Os salários tendem a ser baixos, refletindo a natureza do trabalho agrícola no Brasil. A sazonalidade é alta, pois a demanda por mão de obra pode variar significativamente ao longo do ano, dependendo das épocas de plantio e colheita. A exigência técnica é geralmente baixa, embora algumas funções possam requerer conhecimento específico em técnicas de cultivo ou manejo de pragas. O interesse em reter talentos é geralmente baixo, pois a rotatividade é comum e esperada devido à natureza sazonal do trabalho. Portanto, este CNAE provavelmente possui uma alta rotatividade.",sim,sim,sim,não,não,não,alta_rotatividade,A,01.33-4,"Cultivo de frutas de lavoura permanente, exceto laranja e uva"
"O CNAE 01.34-2 refere-se ao 'Cultivo de café', uma atividade agrícola que envolve o plantio, manejo e colheita de café. Este setor é caracterizado por trabalho físico intenso, especialmente durante a colheita, que é sazonal e pode exigir contratação temporária de trabalhadores. A exigência de escolaridade é geralmente baixa, com muitos trabalhadores sendo contratados para funções braçais. Os salários tendem a ser baixos, refletindo a natureza do trabalho e a sazonalidade. O interesse em reter talentos é geralmente baixo, pois a mão de obra é frequentemente temporária e de baixa qualificação. Portanto, este CNAE provavelmente apresenta alta rotatividade devido à combinação de trabalho extenuante, baixa escolaridade exigida, alta sazonalidade e baixos salários.",sim,sim,sim,não,não,não,alta_rotatividade,A,01.34-2,Cultivo de café
"O CNAE 01.35-1 refere-se ao 'Cultivo de cacau'. Esta atividade é predominantemente agrícola e ocorre em regiões específicas do Brasil, como a Bahia. O cultivo de cacau é caracterizado por trabalho físico intenso, especialmente durante a colheita, e geralmente requer baixa escolaridade, pois muitas das tarefas são manuais. A atividade é sazonal, com picos de trabalho durante as épocas de plantio e colheita. Os salários tendem a ser baixos, refletindo a natureza do trabalho agrícola no Brasil. Além disso, o interesse em reter talentos é geralmente baixo, pois a mão de obra é facilmente substituível e o treinamento necessário é mínimo. Portanto, é provável que empresas neste setor apresentem alta rotatividade.",sim,sim,sim,não,não,não,alta_rotatividade,A,01.35-1,Cultivo de cacau
"O CNAE 01.39-3 refere-se ao 'Cultivo de plantas de lavoura permanente não especificadas anteriormente', que abrange atividades agrícolas voltadas para o cultivo de plantas que não se enquadram nas categorias mais comuns, como café, laranja ou uva. Este tipo de atividade geralmente envolve trabalho físico intenso, especialmente durante períodos de plantio e colheita, o que pode ser extenuante. A exigência de escolaridade costuma ser baixa, com muitos trabalhadores sendo contratados para funções que não requerem formação técnica avançada. A sazonalidade é uma característica marcante, pois a demanda por mão de obra pode variar significativamente ao longo do ano, dependendo do ciclo de cultivo das plantas específicas. Os salários médios tendem a ser baixos, refletindo a natureza do trabalho agrícola no Brasil. Além disso, o interesse em reter talentos pode ser limitado, já que o treinamento necessário para a maioria das funções é mínimo e a rotatividade é frequentemente vista como parte do modelo de negócios. Portanto, este CNAE provavelmente apresenta uma alta rotatividade.",sim,sim,sim,não,não,não,alta_rotatividade,A,01.39-3,Cultivo de plantas de lavoura permanente não especificadas anteriormente
"O CNAE 01.41-5 refere-se à 'Produção de sementes certificadas', uma atividade que envolve a produção e o processamento de sementes para garantir sua qualidade e conformidade com padrões regulatórios. Este setor é caracterizado por uma alta exigência técnica, pois envolve conhecimentos em agronomia, biotecnologia e controle de qualidade. A produção de sementes certificadas é crucial para a agricultura, exigindo precisão e expertise para garantir a viabilidade e a produtividade das sementes. Embora possa haver alguma sazonalidade devido aos ciclos de cultivo, a demanda por sementes certificadas tende a ser estável ao longo do ano, especialmente em grandes empresas que operam em mercados internacionais. Os salários podem variar, mas geralmente são competitivos para atrair profissionais qualificados. O interesse em reter talentos é alto, dado o custo de treinamento e a importância de manter equipes experientes para garantir a qualidade do produto final. Portanto, este CNAE provavelmente possui uma rotatividade baixa a moderada, dependendo do tamanho da empresa e da localização.",não,não,moderado,sim,moderado,sim,baixa_rotatividade,A,01.41-5,Produção de sementes certificadas
"O CNAE 01.42-3 refere-se à 'Produção de mudas e outras formas de propagação vegetal, certificadas'. Este setor está relacionado à agricultura e horticultura, focando na produção de mudas certificadas para plantio. As atividades podem envolver trabalho físico, especialmente em viveiros e estufas, mas também podem exigir conhecimentos técnicos em botânica e certificação de qualidade. A sazonalidade pode ser um fator, dependendo do tipo de planta e do ciclo de cultivo, mas geralmente há trabalho contínuo para manutenção e preparação de mudas. O salário médio tende a ser mais baixo, típico do setor agrícola, e a escolaridade exigida pode variar de baixa a moderada, dependendo do nível de especialização necessário. O interesse em reter talentos pode ser moderado, especialmente para funções que exigem conhecimento técnico ou experiência específica.",moderado,moderado,moderado,moderado,não,moderado,moderada_rotatividade,A,01.42-3,"Produção de mudas e outras formas de propagação vegetal, certificadas"
"O CNAE 01.51-2 refere-se à 'Criação de bovinos', uma atividade predominantemente rural que envolve o manejo e cuidado de gado para produção de carne, leite e outros derivados. Este setor é caracterizado por trabalho físico intenso, muitas vezes realizado em condições climáticas adversas, o que pode ser considerado extenuante. A exigência de escolaridade é geralmente baixa, com muitos trabalhadores possuindo apenas o ensino fundamental. A atividade pode apresentar sazonalidade, especialmente em regiões onde as condições climáticas afetam a disponibilidade de pasto e água, influenciando a necessidade de mão de obra em diferentes épocas do ano. Os salários tendem a ser baixos, refletindo a baixa exigência de qualificação. O interesse em reter talentos pode ser limitado, já que a formação de novos trabalhadores não é cara e o risco associado ao turnover é baixo. Portanto, é provável que este CNAE apresente alta rotatividade.",sim,sim,sim,não,não,não,alta_rotatividade,A,01.51-2,Criação de bovinos
"O CNAE 01.52-1 refere-se à 'Criação de outros animais de grande porte', que inclui atividades como a criação de animais como búfalos, cavalos, mulas, jumentos e outros animais de grande porte que não se enquadram em categorias específicas como bovinos ou suínos. Este tipo de atividade geralmente envolve trabalho físico significativo, especialmente em tarefas relacionadas ao manejo e cuidado dos animais. A exigência de escolaridade tende a ser baixa, com muitos trabalhadores possuindo apenas o ensino fundamental. A sazonalidade pode ser moderada, dependendo do tipo de animal e do ciclo de produção, mas geralmente há uma necessidade contínua de cuidados ao longo do ano. Os salários médios são geralmente baixos, refletindo a baixa exigência de qualificação. O interesse em reter talentos pode ser limitado, já que o treinamento específico para essas funções não é intensivo ou caro. Portanto, é provável que este CNAE apresente uma rotatividade moderada a alta, devido às condições de trabalho e à remuneração.",sim,sim,moderado,não,não,não,alta_rotatividade,A,01.52-1,Criação de outros animais de grande porte
"O CNAE 01.53-9 refere-se à 'Criação de caprinos e ovinos', uma atividade predominantemente rural que envolve o manejo e cuidado de animais para produção de carne, leite, lã e outros derivados. Este setor geralmente exige trabalho físico intenso, especialmente em propriedades menores onde a mecanização é limitada. A escolaridade exigida para a maioria das funções é baixa, com muitos trabalhadores aprendendo as habilidades necessárias no próprio trabalho. A sazonalidade pode ser um fator, especialmente em regiões onde as condições climáticas afetam a disponibilidade de pastagem e a reprodução dos animais. Os salários tendem a ser baixos, refletindo a baixa exigência de qualificação e a natureza sazonal do trabalho. O interesse em reter talentos pode ser limitado, especialmente em operações menores, onde o treinamento formal é raro e a substituição de trabalhadores é relativamente fácil. Portanto, é provável que este CNAE apresente alta rotatividade.",sim,sim,sim,não,não,não,alta_rotatividade,A,01.53-9,Criação de caprinos e ovinos
"O CNAE 01.54-7 refere-se à 'Criação de suínos', uma atividade que envolve o manejo e cuidado de suínos para produção de carne e outros derivados. Este setor geralmente exige trabalho físico considerável, como alimentação, limpeza e manejo dos animais, o que pode ser considerado extenuante. A escolaridade exigida para a maioria das funções é baixa, com muitos trabalhadores possuindo apenas o ensino fundamental. A sazonalidade pode ser moderada, pois, embora a criação de suínos ocorra ao longo do ano, há períodos de maior demanda, como antes de festas e feriados. Os salários tendem a ser baixos, refletindo a baixa exigência de qualificação. O interesse em reter talentos pode ser limitado, já que o treinamento necessário é básico e a substituição de mão de obra não é complexa. Portanto, a rotatividade neste setor é geralmente alta, devido às condições de trabalho e à baixa remuneração.",sim,sim,moderado,não,não,não,alta_rotatividade,A,01.54-7,Criação de suínos
"O CNAE 01.55-5 refere-se à 'Criação de aves', que inclui atividades como a criação de frangos, galinhas poedeiras, perus, patos, gansos e outras aves para produção de carne e ovos. Este setor é caracterizado por trabalho físico intenso, especialmente em granjas e abatedouros, onde as condições podem ser extenuantes. A exigência de escolaridade é geralmente baixa, com muitos trabalhadores desempenhando funções que não requerem formação técnica avançada. A sazonalidade pode ser moderada, dependendo da demanda do mercado e de ciclos de produção específicos, como o aumento da demanda por aves em certas épocas do ano (por exemplo, festas de fim de ano). Os salários tendem a ser baixos, refletindo a baixa exigência de qualificação. O interesse em reter talentos pode ser limitado, já que a mão de obra é frequentemente substituível e o treinamento não é intensivo. Portanto, é provável que este setor apresente alta rotatividade.",sim,sim,moderado,não,não,não,alta_rotatividade,A,01.55-5,Criação de aves
"O CNAE 01.59-8 refere-se à 'Criação de animais não especificados anteriormente', que inclui atividades de criação de diversos tipos de animais que não se enquadram nas categorias mais comuns, como bovinos, suínos ou aves. Este setor pode incluir a criação de animais como coelhos, abelhas, bichos-da-seda, entre outros. As atividades geralmente exigem trabalho físico, especialmente em ambientes rurais, e podem ser sazonais dependendo do tipo de animal e do ciclo de produção. A escolaridade exigida tende a ser baixa, com muitos trabalhadores aprendendo as habilidades no próprio trabalho. Os salários são geralmente baixos, refletindo a baixa exigência técnica e a natureza sazonal do trabalho. O interesse em reter talentos pode ser limitado, já que a mão de obra é frequentemente substituível e o treinamento não é intensivo. Portanto, este CNAE provavelmente apresenta uma alta rotatividade.",sim,sim,sim,não,não,não,alta_rotatividade,A,01.59-8,Criação de animais não especificados anteriormente
"O CNAE 01.61-0 refere-se a 'Atividades de apoio à agricultura', que incluem serviços como preparação de terrenos, plantio, colheita, poda, controle de pragas, entre outros. Essas atividades são geralmente caracterizadas por trabalho físico intenso, exigindo baixa escolaridade, e são altamente sazonais, dependendo dos ciclos de cultivo e colheita. Os salários tendem a ser baixos, e há um menor interesse em reter talentos devido à natureza temporária e sazonal do trabalho. Portanto, é provável que esse CNAE apresente alta rotatividade.",sim,sim,sim,não,não,não,alta_rotatividade,A,01.61-0,Atividades de apoio à agricultura
"O CNAE 01.62-8 refere-se a 'Atividades de apoio à pecuária', que inclui serviços como inseminação artificial, manejo de pastagens, tosquia de ovinos, entre outros. Essas atividades geralmente exigem trabalho físico, muitas vezes em condições ambientais desafiadoras, como exposição ao clima e ao trabalho ao ar livre. A escolaridade exigida tende a ser baixa, com muitos trabalhadores aprendendo as habilidades no próprio trabalho. A sazonalidade pode ser um fator, especialmente em atividades ligadas a ciclos reprodutivos ou de colheita de pastagens. Os salários médios são geralmente baixos, refletindo a baixa exigência de qualificação formal. O interesse em reter talentos pode ser limitado, dado o custo relativamente baixo de substituição de mão de obra e a natureza do trabalho. Portanto, é provável que esse CNAE apresente alta rotatividade.",sim,sim,moderado,não,não,não,alta_rotatividade,A,01.62-8,Atividades de apoio à pecuária
"O CNAE 01.63-6 refere-se a 'Atividades de pós-colheita', que incluem operações como limpeza, classificação, secagem e embalagem de produtos agrícolas após a colheita. Este setor é caracterizado por uma alta sazonalidade, pois as atividades estão diretamente ligadas aos ciclos de colheita das culturas agrícolas. O trabalho pode ser fisicamente extenuante, especialmente em períodos de pico, e geralmente não exige alta escolaridade, já que muitas das tarefas são manuais ou operacionais. Os salários tendem a ser baixos, refletindo a natureza operacional do trabalho. Além disso, o interesse em reter talentos pode ser limitado, dado que a mão de obra é frequentemente contratada de forma temporária para atender à demanda sazonal. Portanto, é provável que este CNAE apresente uma alta rotatividade.",sim,sim,sim,não,não,não,alta_rotatividade,A,01.63-6,Atividades de pós-colheita
"O CNAE 01.70-9 refere-se a 'Caça e serviços relacionados', que inclui atividades de caça de animais selvagens e serviços relacionados, como a captura de animais para controle populacional ou para fins de pesquisa. Este tipo de atividade geralmente envolve trabalho físico extenuante, pois pode exigir longas horas em ambientes externos e condições adversas. A escolaridade exigida tende a ser baixa, já que muitas das habilidades podem ser adquiridas por meio de treinamento prático. A sazonalidade pode ser alta, dependendo das regulamentações de caça e das estações do ano que influenciam a disponibilidade de animais. Os salários médios são geralmente baixos, refletindo a natureza sazonal e a baixa exigência técnica do trabalho. O interesse em reter talentos pode ser baixo, pois a natureza sazonal e a baixa complexidade técnica não incentivam investimentos significativos em retenção. Portanto, este CNAE provavelmente possui uma alta rotatividade.",sim,sim,sim,não,não,não,alta_rotatividade,A,01.70-9,Caça e serviços relacionados
"O CNAE 02.10-1 refere-se à 'Produção florestal - florestas plantadas', que envolve atividades relacionadas ao cultivo e manejo de florestas plantadas para a produção de madeira, celulose, papel e outros produtos florestais. Este setor geralmente requer mão de obra para atividades físicas intensas, como plantio, manejo e colheita de árvores, o que pode ser considerado trabalho extenuante. A escolaridade exigida para muitos dos cargos operacionais é baixa, embora haja necessidade de técnicos e engenheiros florestais para funções de supervisão e planejamento. A atividade pode apresentar sazonalidade, especialmente em regiões onde as condições climáticas afetam o plantio e a colheita. Os salários tendem a ser baixos para funções operacionais, mas podem ser mais elevados para cargos técnicos e de gestão. O interesse em reter talentos pode variar, mas geralmente é baixo para funções operacionais devido à alta disponibilidade de mão de obra. Portanto, este CNAE provavelmente possui uma rotatividade alta, especialmente em funções operacionais.",sim,sim,moderado,moderado,não,não,alta_rotatividade,A,02.10-1,Produção florestal - florestas plantadas
"O CNAE 02.20-9 refere-se à 'Produção florestal - florestas nativas', que envolve atividades relacionadas à exploração e manejo de florestas nativas para a obtenção de produtos florestais, como madeira, resinas e outros. Este setor geralmente exige trabalho físico intenso, muitas vezes em condições adversas e em locais remotos, o que pode ser considerado extenuante. A escolaridade exigida para a maioria das funções operacionais tende a ser baixa, com exceção de cargos de supervisão ou técnicos especializados em manejo florestal. A atividade pode apresentar sazonalidade, dependendo das condições climáticas e das políticas de manejo sustentável. Os salários médios no setor tendem a ser baixos, especialmente para trabalhadores braçais. O interesse em reter talentos pode ser limitado, dado o foco em mão de obra temporária ou sazonal. Portanto, é provável que este CNAE apresente alta rotatividade, especialmente em funções operacionais.",sim,sim,moderado,não,não,não,alta_rotatividade,A,02.20-9,Produção florestal - florestas nativas
"O CNAE 02.30-6 refere-se a 'Atividades de apoio à produção florestal', que inclui serviços como preparação de terrenos, plantio, manutenção e colheita de florestas. Essas atividades geralmente exigem trabalho físico intenso, muitas vezes em condições adversas e ao ar livre, o que pode ser considerado extenuante. A escolaridade exigida para essas funções tende a ser baixa, com muitos trabalhadores sendo contratados para funções operacionais. A sazonalidade pode ser um fator, especialmente em regiões onde as condições climáticas afetam o ciclo de plantio e colheita. Os salários médios para essas atividades costumam ser baixos, refletindo a baixa exigência de qualificação. O interesse em reter talentos pode ser limitado, já que a mão de obra é frequentemente substituível e o treinamento não é intensivo. Portanto, é provável que esse CNAE apresente alta rotatividade devido às características mencionadas.",sim,sim,sim,não,não,não,alta_rotatividade,A,02.30-6,Atividades de apoio à produção florestal
"O CNAE 03.11-6 refere-se à 'Pesca em água salgada', uma atividade que geralmente envolve trabalho físico extenuante, pois os trabalhadores precisam lidar com condições adversas no mar, como clima instável e longas jornadas. A escolaridade exigida para a maioria das funções é baixa, com muitos trabalhadores aprendendo as habilidades necessárias no próprio trabalho. A pesca é uma atividade altamente sazonal, dependendo de fatores como as estações do ano e as condições climáticas, o que pode afetar a estabilidade do emprego. Os salários médios tendem a ser baixos, especialmente para pescadores não especializados. Além disso, o interesse das empresas em reter talentos pode ser limitado, já que a mão de obra é frequentemente vista como substituível. Portanto, é provável que esse CNAE apresente alta rotatividade.",sim,sim,sim,não,não,não,alta_rotatividade,A,03.11-6,Pesca em água salgada
"O CNAE 03.12-4 refere-se à 'Pesca em água doce', uma atividade que geralmente envolve trabalho físico intenso, especialmente em ambientes naturais e, muitas vezes, remotos. A exigência de escolaridade para essa atividade tende a ser baixa, com muitos trabalhadores aprendendo as habilidades necessárias no próprio trabalho. A pesca em água doce pode ser altamente sazonal, dependendo das condições climáticas e dos ciclos de reprodução dos peixes. Os salários médios para trabalhadores da pesca são geralmente baixos, refletindo a natureza sazonal e a baixa exigência de qualificação formal. Além disso, o interesse das empresas em reter talentos pode ser limitado, dado o caráter temporário e a alta disponibilidade de mão de obra não qualificada. Portanto, é provável que esse CNAE apresente alta rotatividade.",sim,sim,sim,não,não,não,alta_rotatividade,A,03.12-4,Pesca em água doce
"O CNAE 03.21-3 refere-se à 'Aqüicultura em água salgada e salobra', que envolve a criação de organismos aquáticos, como peixes, crustáceos e moluscos, em ambientes de água salgada ou salobra. Este setor pode apresentar características de trabalho físico extenuante, especialmente em atividades de manejo e colheita. A exigência de escolaridade pode variar, mas muitas funções operacionais não requerem alta qualificação. A sazonalidade pode ser um fator, dependendo do ciclo de cultivo e das condições climáticas, afetando a demanda por mão de obra em determinados períodos do ano. Os salários tendem a ser baixos a moderados, dependendo da função e da região. O interesse em reter talentos pode ser limitado, especialmente em funções de menor qualificação, mas pode ser maior em posições técnicas ou de gestão. No geral, a rotatividade pode ser considerada moderada a alta, influenciada pela sazonalidade e pelas condições de trabalho.",sim,sim,sim,não,não,moderado,alta_rotatividade,A,03.21-3,Aqüicultura em água salgada e salobra
"O CNAE 03.22-1 refere-se à 'Aqüicultura em água doce', que envolve a criação de organismos aquáticos, como peixes e crustáceos, em ambientes de água doce. Este setor geralmente requer trabalho físico, especialmente em atividades de manejo e colheita, e pode ser sazonal dependendo das espécies cultivadas e das condições climáticas. A escolaridade exigida para muitos dos trabalhadores é baixa, com exceção de funções técnicas ou de gestão. Os salários tendem a ser baixos, refletindo a baixa exigência de qualificação para a maioria das funções. O interesse em reter talentos pode ser limitado, especialmente em funções operacionais, mas pode ser maior em posições técnicas ou de supervisão. Assim, a rotatividade pode ser considerada alta, especialmente em funções de base.",sim,sim,moderado,não,não,moderado,alta_rotatividade,A,03.22-1,Aqüicultura em água doce
"O CNAE 05.00-3 refere-se à 'Extração de carvão mineral'. Este setor é caracterizado por atividades de mineração, que geralmente envolvem trabalho físico extenuante e condições de trabalho desafiadoras, como ambientes subterrâneos e exposição a riscos físicos. A escolaridade exigida pode variar, mas muitas funções operacionais não requerem alta qualificação técnica, embora existam posições que demandem conhecimentos específicos em engenharia de minas ou geologia. O setor não é altamente sazonal, pois a extração de carvão ocorre de forma contínua ao longo do ano. Os salários podem variar, mas em geral, as funções operacionais não são altamente remuneradas. O interesse em reter talentos pode ser moderado, especialmente para posições técnicas e de supervisão, mas menos para funções operacionais. Portanto, a rotatividade pode ser considerada moderada a alta, dependendo da função específica e das condições de trabalho oferecidas pela empresa.",sim,sim,não,moderado,não,moderado,moderada_rotatividade,B,05.00-3,Extração de carvão mineral
